osm_id;name;betreiber;adresse;plz;hallenflaeche_m2;lat;lon;osm_link
92876302;Harry Brot GmbH;;Harkortstraße 60;40880;22140;51.311675;6.831659;https://www.openstreetmap.org/way/92876302
92246594;;;Halskestraße 7;40880;15129;51.304886;6.831828;https://www.openstreetmap.org/way/92246594
42653828;;;Breitscheider Weg 148;40885;13035;51.344531;6.839016;https://www.openstreetmap.org/way/42653828
25319448;KDM-Kompostierungs- und Vermarktungsgesellschaft für Stadt Düsseldorf / Kreis Mettmann mbH;;Lintorfer Weg 83;40885;12873;51.350264;6.850797;https://www.openstreetmap.org/way/25319448
92714581;;;Halskestraße 22;40880;9023;51.305867;6.835995;https://www.openstreetmap.org/way/92714581
57357848;Praxair Surface Technologies GmbH;;Robert-Zapp-Straße 7;40880;7452;51.305524;6.82524;https://www.openstreetmap.org/way/57357848
1001081374;Marc Panzer GmbH Internationale Spedition;;;;6814;51.345443;6.837039;https://www.openstreetmap.org/way/1001081374
92713973;;;Harkortstraße 9;40880;6679;51.306861;6.832477;https://www.openstreetmap.org/way/92713973
92715268;;;Harkortstraße 34;40880;6631;51.308407;6.833856;https://www.openstreetmap.org/way/92715268
165877391;;;Harkortstraße 6;40880;6120;51.306707;6.834011;https://www.openstreetmap.org/way/165877391
135928886;Lintorfer Eisengießerei GmbH;;Rehhecke 83;40885;5114;51.341833;6.836207;https://www.openstreetmap.org/way/135928886
106539240;;;Am Sandbach 35;40878;4991;51.29445;6.83089;https://www.openstreetmap.org/way/106539240
135924751;Frankenheim;;Breitscheider Weg 142;40885;4546;51.345269;6.836137;https://www.openstreetmap.org/way/135924751
135924640;A. Hopp Metallschleiferei;;Rehhecke;40885;4084;51.344103;6.836102;https://www.openstreetmap.org/way/135924640
92876770;TZW;;Harkortstraße 25;40880;3692;51.309407;6.83192;https://www.openstreetmap.org/way/92876770
105035123;WFB Werkstätten des Kreises Mettmann GmbH;;Scheifenkamp 12;40878;3265;51.291855;6.829226;https://www.openstreetmap.org/way/105035123
92715270;;;Harkortstraße 36;40880;3148;51.309205;6.833924;https://www.openstreetmap.org/way/92715270
165849514;Vodafone Group Services GmbH;;;;3043;51.342597;6.847199;https://www.openstreetmap.org/way/165849514
279194176;Dockhorn-Kunststoffe e.K.;;Kölner Straße 22;40885;2143;51.340723;6.869289;https://www.openstreetmap.org/way/279194176
305843272;;;Halskestraße 5;40880;2024;51.304786;6.834521;https://www.openstreetmap.org/way/305843272
92246591;;;Halskestraße 5a;40880;1946;51.304718;6.833912;https://www.openstreetmap.org/way/92246591
92876769;First stop;;Harkortstraße 35;40880;1688;51.310337;6.831343;https://www.openstreetmap.org/way/92876769
135924778;Marc Panzer GmbH Internationale Spedition;;;;1642;51.34592;6.837925;https://www.openstreetmap.org/way/135924778
135928915;;;Rehhecke 89;40885;1566;51.342269;6.835023;https://www.openstreetmap.org/way/135928915
92876765;Bühler;;Harkortstraße 29;40880;1521;51.309981;6.831659;https://www.openstreetmap.org/way/92876765
105039225;;FedEx;;;1510;51.290665;6.836245;https://www.openstreetmap.org/way/105039225
725805655;;;Halskestraße 24;40880;1375;51.305597;6.835053;https://www.openstreetmap.org/way/725805655
92715282;;;Harkortstraße 14;40880;1282;51.307345;6.833797;https://www.openstreetmap.org/way/92715282
255493112;ContiKlima;;Rehhecke 88;40885;1226;51.343696;6.836989;https://www.openstreetmap.org/way/255493112
92715275;;;Harkortstraße 30;40880;1118;51.307945;6.834931;https://www.openstreetmap.org/way/92715275
217519743;Spider;;Harkortstraße 27;40880;1071;51.309681;6.831742;https://www.openstreetmap.org/way/217519743
221098942;;;Am Gierath 20e;40885;1041;51.33643;6.84891;https://www.openstreetmap.org/way/221098942
