rank;name_or_operator;area_sqm;address;city;zip_code;lat;lon;website;phone;email;building;osm_url;maps_url
1;Frachtgebäude;54329;Südallee 1, 85356 München-Flughafen;München-Flughafen;85356;48.350349;11.770128;;;;warehouse;https://www.openstreetmap.org/way/482481296;https://www.google.com/maps?q=48.350349,11.770128
2;DHL Paket GmbH;50154;Parsdorfer Straße 13, 85586 Poing;Poing;85586;48.16226;11.784294;;;;warehouse;https://www.openstreetmap.org/way/325152799;https://www.google.com/maps?q=48.16226,11.784294
3;ALDI GmbH & Co. KG Ebersberg;47207;Anzinger Straße 6, 85560 Ebersberg;Ebersberg;85560;48.096958;11.958478;https://www.aldi-sued.de/;+498008002534;;warehouse;https://www.openstreetmap.org/way/92898000;https://www.google.com/maps?q=48.096958,11.958478
4;REWE Markt GmbH Frischezentrum;32417;Am Isarkanal 20, 85462 Eitting;Eitting;85462;48.368379;11.889247;;;;warehouse;https://www.openstreetmap.org/way/27717314;https://www.google.com/maps?q=48.368379,11.889247
5;Logicpark;32386;;;;48.238338;11.342819;;;;warehouse;https://www.openstreetmap.org/way/105836028;https://www.google.com/maps?q=48.238338,11.342819
6;REWE Markt GmbH;29082;Am Isarkanal 22, 85462 Eitting;Eitting;85462;48.370626;11.888897;;;;warehouse;https://www.openstreetmap.org/way/130711546;https://www.google.com/maps?q=48.370626,11.888897
7;Transgourmet Logistikzentrum;28445;Holzkirchner Straße 10, 82223 Eichenau;Eichenau;82223;48.159746;11.325947;;;;warehouse;https://www.openstreetmap.org/way/24278956;https://www.google.com/maps?q=48.159746,11.325947
8;Hummel Möbelverleih;28425;Taxetstraße 3, 85599 Vaterstetten;Vaterstetten;85599;48.14898;11.793009;https://hummel-mietmoebel.de;;;warehouse;https://www.openstreetmap.org/way/359633653;https://www.google.com/maps?q=48.14898,11.793009
9;DHL;26293;Eichendorffstraße 30, 85609 Aschheim;Aschheim;85609;48.163687;11.734886;https://group.dhl.com/de.html;;;warehouse;https://www.openstreetmap.org/way/30091705;https://www.google.com/maps?q=48.163687,11.734886
10;OSM way/70462632;25431;;;;48.330496;11.689152;;;;warehouse;https://www.openstreetmap.org/way/70462632;https://www.google.com/maps?q=48.330496,11.689152
11;Airport Logistic Center;25217;Eichenstraße 13, 85445 Oberding;Oberding;85445;48.350308;11.833911;;;;warehouse;https://www.openstreetmap.org/way/109473591;https://www.google.com/maps?q=48.350308,11.833911
12;OSM way/130965022;24401;;;;48.331054;11.691345;;;;warehouse;https://www.openstreetmap.org/way/130965022;https://www.google.com/maps?q=48.331054,11.691345
13;OSM way/130965015;23579;Römerstraße 1, 85375 Neufahrn bei Freising;Neufahrn bei Freising;85375;48.329195;11.686931;;;;warehouse;https://www.openstreetmap.org/way/130965015;https://www.google.com/maps?q=48.329195,11.686931
14;Group7 AG;22483;85445 Oberding;Oberding;85445;48.354656;11.836532;;+49 8122 9453-0;;warehouse;https://www.openstreetmap.org/way/425943847;https://www.google.com/maps?q=48.354656,11.836532
15;Logicor;22293;Gruber Straße 70, 85586 Poing;Poing;85586;48.171199;11.793156;;;;warehouse;https://www.openstreetmap.org/way/30163139;https://www.google.com/maps?q=48.171199,11.793156
16;Trinks Süd GmbH Logistikzentrum;21261;Fraunhoferstraße 10, 82256 Fürstenfeldbruck;Fürstenfeldbruck;82256;48.199437;11.248834;;;;warehouse;https://www.openstreetmap.org/way/353313374;https://www.google.com/maps?q=48.199437,11.248834
17;OSM way/651807464;19953;;;;48.308737;11.656184;;;;warehouse;https://www.openstreetmap.org/way/651807464;https://www.google.com/maps?q=48.308737,11.656184
18;Multipark IV;19721;;;;48.230562;11.337989;;;;warehouse;https://www.openstreetmap.org/way/653533674;https://www.google.com/maps?q=48.230562,11.337989
19;OSM way/156321096;19470;;;;48.289811;11.571028;;;;warehouse;https://www.openstreetmap.org/way/156321096;https://www.google.com/maps?q=48.289811,11.571028
20;HAGEMEYER Deutschland GmbH & Co. KG Elektrogroßhandel;19103;;;;48.216652;11.28454;http://www.hagemeyerce.com;;;warehouse;https://www.openstreetmap.org/way/194591584;https://www.google.com/maps?q=48.216652,11.28454
21;REWE Logistikzentrum;19027;Am Isarkanal 24, 85462 Eitting;Eitting;85462;48.373461;11.890706;;;;warehouse;https://www.openstreetmap.org/way/613448400;https://www.google.com/maps?q=48.373461,11.890706
22;OSM way/156321107;18692;Ohmstraße 2, 85716 Unterschleißheim;Unterschleißheim;85716;48.287051;11.567067;;;;warehouse;https://www.openstreetmap.org/way/156321107;https://www.google.com/maps?q=48.287051,11.567067
23;OSM way/45034444;18343;Gutenbergstraße 1, 85748 Garching;Garching;85748;48.244386;11.628296;;;;warehouse;https://www.openstreetmap.org/way/45034444;https://www.google.com/maps?q=48.244386,11.628296
24;Metro;18182;Am Gleisdreieck 15, 81243 München;München;81243;48.139739;11.433553;https://www.metro.de/standorte/muenchen-pasing;;;warehouse;https://www.openstreetmap.org/way/84268305;https://www.google.com/maps?q=48.139739,11.433553
25;OSM way/130965017;17882;;;;48.331159;11.68667;;;;warehouse;https://www.openstreetmap.org/way/130965017;https://www.google.com/maps?q=48.331159,11.68667
26;Dachser;16708;Römerstraße 4, 85375 Neufahrn bei Freising;Neufahrn bei Freising;85375;48.328508;11.690452;;;;warehouse;https://www.openstreetmap.org/way/136976141;https://www.google.com/maps?q=48.328508,11.690452
27;Spediteursgebäude;16019;;;;48.351524;11.771014;;;;warehouse;https://www.openstreetmap.org/way/26805414;https://www.google.com/maps?q=48.351524,11.771014
28;Spediteursgebäude;15198;;;;48.351265;11.767635;;;;warehouse;https://www.openstreetmap.org/way/79289773;https://www.google.com/maps?q=48.351265,11.767635
29;OSM way/156992793;14857;Am Kiesgrund 4, 85622 Feldkirchen;Feldkirchen;85622;48.152649;11.72705;;;;warehouse;https://www.openstreetmap.org/way/156992793;https://www.google.com/maps?q=48.152649,11.72705
30;OSM way/204996293;13624;;;;48.172001;11.798356;;;;warehouse;https://www.openstreetmap.org/way/204996293;https://www.google.com/maps?q=48.172001,11.798356
31;OSM way/38104172;13476;;;;48.215413;11.291399;;;;warehouse;https://www.openstreetmap.org/way/38104172;https://www.google.com/maps?q=48.215413,11.291399
32;OSM way/45035078;13418;Franz-Lehner-Straße;;;48.261873;11.594025;;;;warehouse;https://www.openstreetmap.org/way/45035078;https://www.google.com/maps?q=48.261873,11.594025
33;OSM way/41990910;12769;;;;48.136772;11.644281;;;;warehouse;https://www.openstreetmap.org/way/41990910;https://www.google.com/maps?q=48.136772,11.644281
34;OSM way/217581837;12679;;;;48.228798;11.339642;;;;warehouse;https://www.openstreetmap.org/way/217581837;https://www.google.com/maps?q=48.228798,11.339642
35;OSM way/77045317;12264;Parkackerstraße 2, 82008 Unterhaching;Unterhaching;82008;48.055323;11.598723;;;;warehouse;https://www.openstreetmap.org/way/77045317;https://www.google.com/maps?q=48.055323,11.598723
36;OSM way/37882744;12221;;;;48.102772;11.584886;;;;warehouse;https://www.openstreetmap.org/way/37882744;https://www.google.com/maps?q=48.102772,11.584886
37;TTI;11476;;;;48.215495;11.285095;https://www.ttieurope.com/;;;warehouse;https://www.openstreetmap.org/way/74089609;https://www.google.com/maps?q=48.215495,11.285095
38;Metro;10981;Werner-Heisenberg-Straße 3, 85254 Sulzemoos;Sulzemoos;85254;48.28122;11.255935;;;;warehouse;https://www.openstreetmap.org/way/537274152;https://www.google.com/maps?q=48.28122,11.255935
39;OSM way/1182853389;10827;Gruber Straße 68, 85586 Poing;Poing;85586;48.170478;11.795205;;;;warehouse;https://www.openstreetmap.org/way/1182853389;https://www.google.com/maps?q=48.170478,11.795205
40;OSM way/450654698;10723;Grasbrunner Straße 19, 81677;;81677;48.137713;11.654242;;;;warehouse;https://www.openstreetmap.org/way/450654698;https://www.google.com/maps?q=48.137713,11.654242
41;OSM way/881608169;10458;;;;48.352307;11.827291;;;;warehouse;https://www.openstreetmap.org/way/881608169;https://www.google.com/maps?q=48.352307,11.827291
42;Multipark IV;10241;;;;48.23156;11.336881;;;;warehouse;https://www.openstreetmap.org/way/679823220;https://www.google.com/maps?q=48.23156,11.336881
43;OSM way/30708528;9995;;;;48.11502;11.553139;;;;warehouse;https://www.openstreetmap.org/way/30708528;https://www.google.com/maps?q=48.11502,11.553139
44;Augustiner Brauerei;9656;Dietmar-Keese-Bogen 20, 81249 München;München;81249;48.131163;11.41213;;;;warehouse;https://www.openstreetmap.org/way/55874199;https://www.google.com/maps?q=48.131163,11.41213
45;OSM way/156279994;8980;;;;48.309955;11.880831;;;;warehouse;https://www.openstreetmap.org/way/156279994;https://www.google.com/maps?q=48.309955,11.880831
46;OSM way/1155051018;8731;;;;48.169321;11.79369;;;;warehouse;https://www.openstreetmap.org/way/1155051018;https://www.google.com/maps?q=48.169321,11.79369
47;OSM way/224422543;8438;;;;48.229412;11.339438;;;;warehouse;https://www.openstreetmap.org/way/224422543;https://www.google.com/maps?q=48.229412,11.339438
48;Hartl Elektro-Fachgroßhandel;8337;Münchner Straße 42, 85354 Freising;Freising;85354;48.385237;11.734016;https://www.hartl-online.de/;;;warehouse;https://www.openstreetmap.org/way/129306893;https://www.google.com/maps?q=48.385237,11.734016
49;OSM way/30708542;8276;;;;48.114366;11.553836;;;;warehouse;https://www.openstreetmap.org/way/30708542;https://www.google.com/maps?q=48.114366,11.553836
50;Panalpina Welttransport (Deutschland) GmbH;7991;Bajuwarenstraße, 85375 Neufahrn;Neufahrn;85375;48.331828;11.692916;;+49 8165 6179 0;;warehouse;https://www.openstreetmap.org/way/136976143;https://www.google.com/maps?q=48.331828,11.692916
51;Deutsche Post;7955;Bertha-Kipfmüller-Straße 3, 81249 München;München;81249;48.137776;11.420695;https://group.dhl.com/de.html;;;warehouse;https://www.openstreetmap.org/way/275658748;https://www.google.com/maps?q=48.137776,11.420695
52;GreenPanda;7851;Werner-Heisenberg-Straße 5, 85254 Sulzemoos;Sulzemoos;85254;48.282168;11.25573;;;;warehouse;https://www.openstreetmap.org/way/537274130;https://www.google.com/maps?q=48.282168,11.25573
53;OSM way/53812176;7735;;;;48.384687;11.779389;;;;warehouse;https://www.openstreetmap.org/way/53812176;https://www.google.com/maps?q=48.384687,11.779389
54;OSM way/828432969;7410;;;;48.216536;11.290718;;;;warehouse;https://www.openstreetmap.org/way/828432969;https://www.google.com/maps?q=48.216536,11.290718
55;Multipark III;7222;;;;48.2307;11.335093;;;;warehouse;https://www.openstreetmap.org/way/679823222;https://www.google.com/maps?q=48.2307,11.335093
56;Dachser SE;7090;;;;48.289232;11.567551;;;;warehouse;https://www.openstreetmap.org/way/215298360;https://www.google.com/maps?q=48.289232,11.567551
57;Deutsche Post;6834;;;;48.188961;11.560188;;;;warehouse;https://www.openstreetmap.org/way/292031744;https://www.google.com/maps?q=48.188961,11.560188
