23282346||51.3008970,6.9306716 51.3007779,6.9298049 51.3007296,6.9294530 51.3006115,6.9288607 51.3004881,6.9283200 51.3003807,6.9279166 51.3002305,6.9274792 51.2999708,6.9275576 51.2999605,6.9276207 51.2999846,6.9276572 51.2999702,6.9277352 51.2999685,6.9277443 51.2998943,6.9278620 51.2998145,6.9277907 51.2997435,6.9277264 51.2996713,6.9276905 51.2995874,6.9276727 51.2991996,6.9275913 51.2990956,6.9277536 51.2986808,6.9280875 51.2981084,6.9284642 51.2981126,6.9281506 51.2976462,6.9281567 51.2971082,6.9283467 51.2967703,6.9284560 51.2964224,6.9285088 51.2965406,6.9296412 51.2966589,6.9306251 51.2967629,6.9314901 51.2968257,6.9324389 51.2970034,6.9324180 51.2972049,6.9333307 51.2973189,6.9340645 51.2976867,6.9338132 51.2980916,6.9338121 51.2983423,6.9337785 51.2986435,6.9336440 51.2989553,6.9336530 51.2992287,6.9336739 51.2996873,6.9336511 51.2999775,6.9336632 51.3002173,6.9337061 51.3011950,6.9339301 51.3012075,6.9338550 51.3011363,6.9311392 51.3010927,6.9309863 51.3009786,6.9307798 51.3009041,6.9307961 51.3008970,6.9306716
24583739|Unternehmensgruppe Goldkuhle|51.3419310,6.8944198 51.3419705,6.8945117 51.3420376,6.8945445 51.3432097,6.8972310 51.3422982,6.8981336 51.3419738,6.8984240 51.3412615,6.8966746 51.3416017,6.8963101 51.3417066,6.8961988 51.3419973,6.8958853 51.3415435,6.8948178 51.3417690,6.8945889 51.3418629,6.8944869 51.3419310,6.8944198
25055579|Klärwerk Ratingen|51.3068629,6.8035306 51.3074604,6.8050816 51.3074311,6.8067521 51.3073744,6.8067645 51.3052593,6.8072322 51.3051835,6.8071719 51.3054080,6.8064382 51.3055031,6.8059656 51.3055961,6.8048647 51.3057186,6.8036423 51.3057246,6.8035732 51.3057427,6.8034515 51.3063080,6.8034467 51.3065612,6.8035465 51.3068629,6.8035306
26348085|Hösel-Bahnhof|51.3412831,6.8899207 51.3416805,6.8909816 51.3416101,6.8910794 51.3411135,6.8915921 51.3411159,6.8914774 51.3411350,6.8913584 51.3411176,6.8912990 51.3411281,6.8912773 51.3409154,6.8902137 51.3412831,6.8899207
37736846||51.2993862,6.8307485 51.2993803,6.8308147 51.2993112,6.8315837 51.2993321,6.8318157 51.2993886,6.8320553 51.2999555,6.8329253 51.3000841,6.8332383 51.3001638,6.8334825 51.3004455,6.8333079 51.3007086,6.8329720 51.2996938,6.8307932 51.2993862,6.8307485
45776192||51.3016490,6.8331900 51.3017048,6.8343437 51.3015381,6.8343534 51.3018934,6.8351296 51.3017903,6.8352301 51.3017333,6.8351738 51.3011413,6.8358310 51.3011832,6.8360040 51.3012587,6.8361521 51.3013697,6.8361099 51.3015002,6.8359691 51.3015656,6.8360080 51.3018004,6.8357961 51.3019588,6.8362457 51.3021743,6.8360764 51.3022364,6.8364532 51.3021040,6.8365294 51.3019735,6.8367494 51.3014061,6.8368100 51.3013359,6.8383353 51.3013237,6.8387881 51.3017587,6.8387272 51.3022399,6.8385618 51.3030362,6.8382257 51.3057918,6.8368313 51.3145139,6.8320268 51.3147601,6.8318547 51.3147665,6.8311518 51.3143859,6.8311746 51.3143920,6.8310310 51.3144386,6.8299339 51.3140680,6.8299409 51.3140286,6.8299436 51.3138170,6.8299579 51.3137555,6.8299590 51.3137478,6.8298349 51.3137394,6.8295798 51.3137207,6.8291129 51.3137160,6.8289953 51.3137093,6.8288269 51.3137022,6.8286453 51.3137007,6.8285436 51.3130832,6.8286122 51.3126990,6.8287255 51.3124216,6.8288295 51.3121805,6.8289245 51.3117945,6.8290765 51.3112285,6.8294116 51.3104504,6.8298304 51.3098380,6.8304628 51.3092869,6.8309274 51.3089430,6.8310473 51.3086325,6.8310638 51.3082815,6.8309790 51.3075636,6.8305421 51.3076520,6.8302851 51.3083669,6.8283355 51.3083417,6.8283033 51.3083872,6.8282092 51.3080450,6.8278027 51.3080954,6.8276696 51.3078312,6.8273763 51.3078525,6.8273265 51.3075297,6.8269327 51.3070202,6.8263447 51.3071066,6.8261547 51.3075968,6.8253101 51.3076693,6.8254393 51.3080360,6.8260816 51.3082318,6.8264415 51.3085569,6.8257405 51.3079987,6.8246699 51.3068586,6.8226874 51.3064251,6.8222108 51.3063380,6.8222094 51.3053671,6.8244088 51.3048423,6.8260664 51.3043677,6.8277052 51.3042772,6.8282953 51.3042453,6.8290490 51.3059930,6.8294185 51.3057712,6.8311518 51.3055968,6.8310928 51.3044298,6.8307227 51.3040357,6.8307736 51.3040541,6.8310928 51.3024812,6.8314093 51.3025885,6.8330240 51.3016490,6.8331900
49745465|ABB|51.2746417,6.8216791 51.2746448,6.8216233 51.2747115,6.8210252 51.2747865,6.8203706 51.2748911,6.8194439 51.2749806,6.8185926 51.2750265,6.8185455 51.2765517,6.8191463 51.2781107,6.8197479 51.2777559,6.8228454 51.2749376,6.8220339 51.2749537,6.8219032 51.2749585,6.8218741 51.2749388,6.8218680 51.2749483,6.8217747 51.2746417,6.8216791
187998637||51.3065670,6.8394139 51.3065598,6.8400858 51.3064158,6.8400922 51.3064164,6.8399772 51.3064192,6.8394200 51.3064430,6.8393731 51.3064694,6.8393474 51.3065040,6.8394108 51.3065670,6.8394139
200514929||51.3084485,6.8873679 51.3081281,6.8884209 51.3083798,6.8885506 51.3088524,6.8884607 51.3087966,6.8874288 51.3086634,6.8871920 51.3084485,6.8873679
279864017|Klärwerk Breitscheid|51.3537719,6.8489454 51.3548942,6.8481673 51.3548667,6.8487971 51.3548737,6.8494841 51.3546563,6.8496494 51.3541681,6.8501030 51.3540900,6.8501817 51.3539901,6.8498032 51.3538923,6.8494328 51.3538721,6.8493564 51.3537719,6.8489454
279945065|Kompostierungswerk Ratingen|51.3513337,6.8478514 51.3512307,6.8480334 51.3510353,6.8477490 51.3508719,6.8479879 51.3503284,6.8473736 51.3497570,6.8487620 51.3493516,6.8500204 51.3490281,6.8508945 51.3495326,6.8522198 51.3500004,6.8527197 51.3503810,6.8528755 51.3516827,6.8495977 51.3520229,6.8490152 51.3514678,6.8480779 51.3513337,6.8478514
